	intensity_height	retention_time	spectrum	adduct	precursor_mz	peak_id
0	1860325.75	1.033527		[M+H]+	140.9617	0
1	1067362.0	1.033527		[M+H]+	158.027	1
2	182945.8125	1.043495		[M+H]+	97.51427	2
3	17044680.0	1.043495	54.03407:30628 55.93459:234521 56.03717:4049 56.94239:311494 57.0449:18160 57.93496:4873 58.32409:1657 65.57943:1618 71.06041:2971 71.92928:9704 72.08076:2888 72.93713:993300 73.94533:3646 74.18869:1584 74.94146:2492 74.95272:4584 75.38753:1833 81.04472:50477 87.00396:6945 88.96819:4317 90.94766:1221539 92.95172:5006 97.07642:1738 97.96902:1999 98.07123:59231 98.09604:2360	[M+H]+	97.9687	3
4	1052460.375	1.043495		[M+H]+	98.96128	4
5	617761.8125	1.043495		[M+H]+	100.9319	5
6	16318641.0	1.043495	62.92916:9604232 66.89381:10041 80.93955:70643 98.95014:19102 103.9554:80585	[M+H]+	103.9555	6
7	353187.4375	1.043495		[M+H]+	104.9588	7
8	7389219.0	1.043495	53.74277:11199 54.94855:13433 59.48186:10946 60.93575:10505 64.92733:3370233 65.14079:10948 78.15344:13967 82.93815:15727 97.86897:13232 105.95398:21788	[M+H]+	105.9537	8
9	140416.25	1.043495		[M+H]+	106.957	9
10	199108.9375	1.043495		[M+H]+	122.9694	10
11	4133620.0	1.043495		[M+H]+	145.9854	11
12	206344.4375	1.043495		[M+H]+	183.078	12
13	362725.0	1.043495		[M+H]+	193.9299	13
14	312777.5625	1.043495		[M+H]+	233.9147	14
15	280042.25	1.043495		[M+H]+	235.9129	15
16	249032.3125	1.043495		[M+H]+	316.7963	16
17	1308453.25	1.043495		[M+H]+	318.7919	17
18	111268.1875	1.043495		[M+H]+	319.7929	18
19	200559.5625	1.043495		[M+H]+	366.798	19
20	102566.0625	1.043495		[M+H]+	462.7272	20
21	440896.25	1.043495		[M+H]+	464.7221	21
22	244983.3125	1.053052		[M+H]+	88.93198	22
23	265173.0625	1.053052		[M+H]+	96.96079	23
24	354803.625	1.053052		[M+H]+	99.51215	24
25	563813.0625	1.053052		[M+H]+	111.9683	25
26	348118.875	1.053052		[M+H]+	112.9558	26
27	8825114.0	1.053052	68.04937:10827 72.93697:35688 90.76981:6643 90.94776:9638 110.81126:9074 114.09139:38310	[M+H]+	113.9636	27
28	514092.1875	1.053052		[M+H]+	114.9562	28
29	264528.5	1.053052		[M+H]+	115.964	29
30	195117.8125	1.053052		[M+H]+	117.9796	30
31	5899368.5	1.053052	59.01368:5375 69.93139:4510 90.30938:5207 122.0966:22059	[M+H]+	121.9661	31
32	2611894.5	1.053052		[M+H]+	123.9643	32
33	1050543.125	1.053052		[M+H]+	131.9617	33
34	455042.0625	1.053052		[M+H]+	133.9598	34
35	3996024.0	1.053052	53.93926:47398 54.9471:156454 55.94557:16142 57.93499:107023 59.98089:3109 68.38748:2728 70.94185:218232 71.9403:4570 75.94544:3110 88.95235:122471 95.58643:2927 98.96181:3905 106.96303:29220 111.96835:146212 112.96661:5829 116.94727:5589 116.97189:118595 122.95805:5450 123.9659:5854 128.54794:3187 128.97115:3268 129.97888:106738 134.95784:11519 135.95633:7978 139.98763:14106	[M+H]+	139.9633	35
36	81515704.0	1.053052	59.94057:18804 62.92916:4869190 80.9396:145197 92.04321:9930 98.94989:16974 103.95551:715214 121.96605:11082097 122.96951:18927 123.97082:16968 131.96173:77380 135.9814:14379 144.98206:833155	[M+H]+	144.982	36
37	37376276.0	1.053052		[M+H]+	146.9801	37
38	1897809.5	1.053052		[M+H]+	147.9835	38
39	285171.375	1.053052		[M+H]+	250.1646	39
40	757860.0	1.053052		[M+H]+	264.8727	40
41	1466732.25	1.053052		[M+H]+	285.8933	41
42	563690.8125	1.053052		[M+H]+	286.8914	42
43	12211762.0	1.053052	55.93458:595897 56.93936:32434 56.94237:366808 58.96269:17256 61.71811:13913 62.69199:16299 71.92936:23297 72.93714:1398220 74.95285:67548 75.79636:20685 90.94769:569234 104.9057:15332 108.95814:45210 113.96378:45406 118.94237:84090 126.25959:14961 136.95308:42846 154.68121:16885 162.87778:24936 172.86369:22409 179.88037:35489 180.88794:750308 190.8737:43067 195.87466:78979 196.88356:44083 197.89091:654231 198.89873:170211 201.86473:23735 203.90416:34690 208.88297:1193959 213.88568:140374 214.89365:111888 215.87717:25233 215.90138:535345 217.51363:17087 218.86926:18295 219.87445:37900 225.88353:21879 226.89343:2282878 231.89943:63318 236.8777:280259 246.86162:106461 249.91037:77194 254.8584:20538 254.88834:369759 259.89444:15309 264.87271:1887566 269.87338:21242 282.88321:1356298 287.88846:152831	[M+H]+	287.8886	43
44	840972.0625	1.053052		[M+H]+	288.8911	44
45	919281.0625	1.053052		[M+H]+	289.8886	45
46	305033.75	1.053052		[M+H]+	303.9037	46
47	157112.5625	1.053052		[M+H]+	357.8231	47
48	841144.8125	1.053052		[M+H]+	359.8184	48
49	604930.375	1.053052		[M+H]+	364.7973	49
50	175846.6875	1.053052		[M+H]+	369.2455	50
51	105060.3125	1.053052		[M+H]+	390.7967	51
52	526928.0	1.053052		[M+H]+	392.792	52
53	250373.25	1.053052		[M+H]+	405.8238	53
54	162741.375	1.053052		[M+H]+	424.3629	54
55	769631.375	1.053052		[M+H]+	433.8188	55
56	132471.5625	1.053052		[M+H]+	505.7488	56
57	400082.625	1.053052		[M+H]+	538.7227	57
58	1401205.25	1.061591		[M+H]+	72.93713	58
59	479918.75	1.061591		[M+H]+	116.9719	59
60	742147.9375	1.061591		[M+H]+	118.0862	60
